"IPWS1","TMLE2S1","TMLE3S1","IPWS2","TMLE2S2","TMLE3S2"
3.04090198624196,2.88758486849635,2.88637347109632,2.90604946425853,2.93472387161865,2.93900168998112
3.20230491564761,3.15467410738514,3.10314406038149,3.12953919554721,3.12262499371515,3.0598455603834
3.28604911998741,3.08759226238558,3.04464247079657,3.29201350787188,3.1281411070917,3.02794569132244
2.17996458123757,3.07248027833688,3.00445961498945,1.10089224145792,3.03937639770271,3.00405500845545
2.70716863573528,2.93224306269645,2.91684080751692,2.85830757070981,2.9701894177974,2.94375524169379
3.60360722600827,3.25388106039743,3.12772645172846,3.45186899438374,3.18140405682292,3.11876711507212
3.25299856409615,2.97211447771926,2.98581762212843,3.12772141425972,3.04832557316407,3.00574187980611
2.88007170277347,3.09035700175465,3.0004857990568,3.22554199623559,3.14203762176501,3.03403562447274
3.62161092753671,3.13810433252115,3.16720791983536,3.36445144215921,3.16781553322264,3.15165249929081
2.97327701635802,3.1249129128509,3.09576208179324,2.67495581290308,3.01520762485498,3.05240860133745
2.66355845122995,2.96701255861554,2.94168283825205,2.32659847743332,2.96112437611012,2.94990261281841
1.0813015849612,2.97813794868047,3.03347195258306,2.0854496958706,2.970501820114,3.02173431607049
3.12558898242275,2.9048436010945,2.91857785402866,3.40150212476629,2.99539330077122,2.93243983928235
2.76842150806789,2.74219928248836,2.90042863284776,1.62062004014633,2.89853627758625,2.92023378463784
3.25727155469161,3.22619004894383,3.19969196361682,3.22965292331769,3.07766310062262,3.13677901570721
2.64353626074446,3.0002532373962,2.98741418291269,1.92179844078862,2.95901726798711,3.01553894658455
3.07708704157374,3.03829361379155,2.95435275251604,2.69922047286717,3.07569947326418,2.97935387458494
3.04444276332273,3.08861672854037,3.07041370683368,3.07802339532041,3.04282948302431,3.032802026128
3.63361756763913,3.22915212376761,3.18955925151272,3.33661127450593,3.22405710490472,3.17807390709883
2.94126394952266,3.03304075322276,3.04429920108985,2.90920564834948,3.08844503886078,3.04270096577472
2.68434324295175,2.78136645010952,2.86916714038683,1.67919308942885,2.84912701123784,2.89810586596718
3.39874809939188,3.13125984279257,3.10432280222017,3.40664456068499,3.13035985010926,3.10327409168986
3.00553955817141,2.98241301810779,3.06162765250387,3.30949293447903,3.00196832850405,3.02831586010738
1.90658140395014,2.92130100420291,2.91840539227203,2.17747953133464,2.96037069564333,2.979433051539
2.18486258685553,3.02243057242285,3.08508706435935,2.62702972837422,3.05579416695777,3.060929405021
2.87811907092014,3.19128193025784,3.07408043791843,1.51270878241225,3.08763716838451,3.03841074770724
1.33606023913793,3.00587805345753,3.05047467927283,2.68733475933417,3.03946362937715,3.03816506553722
2.04308045706988,2.8881003362973,2.85646160725212,1.75449598040051,2.88778954019591,2.85873784259966
2.69080412700156,3.08312578939547,3.08387156111397,2.58072278247165,3.10663494686756,3.11893654301219
