"TMLE2O1","TMLE3O1","TMLE2O2","TMLE3O2","TMLE2O3","TMLE3O3"
3.13053682873865,2.63976195571889,3.12758077742888,4.52717377190223,3.12231458260182,4.56795993326876
3.04188958281772,2.48711258761299,3.0534840744189,4.37475569503748,3.05068778436408,4.39609343252121
3.15098999909342,2.63199398686538,2.94580145131872,4.46099634646503,3.07900997859504,4.51397616875501
3.20568711995072,2.49035428100253,3.14301726968359,4.57050366107253,3.14973439533281,4.55912269961341
2.82897730436299,2.41124813294262,2.85171320380691,4.40952804210164,2.84318667173343,4.42143941559392
3.13647743862223,2.63565398344189,3.10003162696937,4.49884411694517,3.11670064066154,4.52046163018964
3.0045597383359,2.45973438063194,3.01712234748039,4.53260608063472,2.99922302886421,4.52039393566115
3.058630272283,2.52813813816161,3.02854649836613,4.55439589931437,3.06880832276973,4.57542294962647
3.0151297649239,2.42188057791639,3.05155843241074,4.45886180151487,3.06270305296063,4.43869252286374
3.10224784215504,2.55701417034741,3.14498754069214,4.57455399738208,3.13521960572545,4.60011590216563
2.63487884477263,2.13527987377236,2.7316072548151,4.23681272765881,2.67968650818314,4.1974692459265
3.11497225685918,2.57724996621162,3.08406631810569,4.53812759709716,3.09759584449296,4.55504099540062
3.24099188615073,2.57120795293656,3.20707595440418,4.61377765638894,3.27672788982743,4.62796745634158
3.02717696885587,2.59789462163381,2.9903090841647,4.48055550024001,3.00097880116594,4.51127126618847
3.19391114893177,2.61381651568437,3.09794004370903,4.46327105639784,3.14741638641766,4.4889937545173
2.79224966313462,2.39000540600226,2.90618715503404,4.34971075499568,2.88099001277385,4.34118930588743
2.79822930663779,2.3792995269141,2.98270249411421,4.50186250197123,2.92218988379308,4.49308603476794
2.93513236473949,2.41650413045959,2.88662922124643,4.23778302853872,2.92132977248339,4.27064803721755
3.19533126807712,2.54167444269239,3.16120873252076,4.5371935735284,3.20278172898423,4.50841810989668
3.13438749969994,2.58662210546133,3.08232772593674,4.52176272768662,3.12518609230856,4.55946911101042
2.91862191225133,2.44516397096215,2.93066432717528,4.47461885470265,2.93079152275047,4.47739625792882
2.89061728112749,2.49861308981347,2.8782861140613,4.49228932562001,2.89276013488085,4.47343688363013
3.12145408569666,2.43443748461093,3.01487230708986,4.46274461581245,3.13044201165722,4.49298367432526
3.0637174418937,2.52958355160444,2.91914109688745,4.47107653662719,3.03272089188173,4.4923718661912
2.96493062088748,2.57225125857987,3.05154589413002,4.47209426208661,3.01781719303467,4.48685022155514
2.94603600843709,2.31462301274715,3.01048078458093,4.29800494743497,2.94171466291423,4.30619370113536
3.03308824079047,2.55077578565332,3.00469904063623,4.4535724065119,3.04105064398229,4.48202676437876
2.99358960390067,2.40020145655712,2.93304795561804,4.29426860605153,2.95426302229243,4.29891733944518
3.09691154021679,2.59109687218928,3.08958447501861,4.6194534648226,3.1084222463687,4.64208277930118
3.00968924010682,2.47451367224041,3.00210744671519,4.40842346588112,3.00817740620366,4.42017639186694
2.94158246934893,2.49739115378651,3.06620362640319,4.60577505772152,3.01835457753409,4.60911281955832
3.21598274272854,2.5661768298259,3.01192928616256,4.53970175066281,3.11602486679987,4.55929673052261
3.02785977653371,2.5285981133794,3.13358988016669,4.52419989216891,3.07753232190789,4.53978883098233
3.02731112296959,2.54839089679797,2.9412838670154,4.44594298470239,2.95468557478077,4.48315958100749
3.09398680232067,2.58280256196827,3.08256265902406,4.49497521332263,3.12779498613489,4.53660689996847
3.02035530506504,2.56195630468265,3.07176902923281,4.58300980932081,3.07183447869982,4.5915024318369
3.18074109707687,2.66337044358454,3.22858866961682,4.74254337632533,3.23575365785115,4.75375089365186
3.36182955368671,2.49560410546841,3.32790177105068,4.64597368028523,3.36493975424562,4.64402577352929
2.95154804431322,2.38989378628241,2.8308307617153,4.36599603106893,2.88964240695287,4.38256419185387
3.09926917551399,2.56269808723999,3.13268631808574,4.55623639760403,3.10923995737288,4.58738964978837
3.05689018969226,2.54027178944102,3.09197613128512,4.50289109583357,3.0466005036725,4.53383119516455
2.94660471121153,2.56686343495106,3.01501435944189,4.44536121029629,2.96439349327837,4.46431134737091
3.09031057361219,2.7203096594457,3.00952940869292,4.60279862397057,3.04904173742487,4.63572375453053
