"TMLE3T2","TMLE3S1","TMLE3S2"
2.92664173371836,2.89495329293326,2.97069613534765
3.05757914263877,3.08020299295552,3.04719459633763
2.86889599927786,2.76863889399915,2.82900433193653
2.95951551461148,3.07150998699043,3.04676100683374
2.99478270892922,3.09985361040554,3.05052609955923
3.0135680707655,3.1330410577362,3.02530760621513
2.91846097480983,2.91748584666034,2.88720697958317
3.00033717993635,2.94554429775659,2.9160809789545
2.82856401293787,2.80539968552441,2.76595382599456
3.03360936649043,2.98563222415797,3.01958435693908
2.89157004585341,2.93865082032645,2.94002574275535
3.0171927932596,3.0863454958621,3.01553896497704
2.8599251586732,2.68076653104761,2.70702571941757
2.99146652346929,2.87091987433646,2.93920813447352
2.97957948583566,2.88889601253859,2.97407561222085
3.07672850496887,3.05298300089709,3.05637486314548
2.90837798289952,2.95369087869075,2.98806665007471
2.77151655911311,2.8347904323943,2.78657317018083
2.89114153572697,2.88204820201147,2.8780232210648
3.11399048051101,3.09776191333226,3.09971205498561
2.88404076060705,2.92769225644617,2.96232254144995
3.01713775186129,2.98290099065927,3.01039760220208
3.19920377127921,3.227353023275,3.17058233966633
3.10646002616315,3.0843501868378,3.09762884153524
2.93029774616832,2.95314172970315,2.94417303055583
2.9353016354836,2.86418100501718,2.92770773834938
2.86058155623438,2.85135089904738,2.89921755093017
2.96037831642675,3.00406767091815,3.00832089962515
2.89640605476567,2.88262272944147,2.94893953708036
2.88804173207197,2.83367411167573,2.89392724685305
3.08975511129749,3.17457529539879,3.19027548945816
2.97140576001588,2.92015567511676,2.99213675854286
3.05627049286961,3.03908782411892,3.07045148227862
3.09676392622841,3.09849510397748,3.06324140178635
3.04116830184917,3.09865663841844,3.10632802278616
2.91273789565265,2.885450438773,2.91906615002293
3.0105146950007,3.13167541455434,3.08025433299932
3.05816656482583,3.06690274110578,3.08991946631571
2.99454506339359,3.02812480686814,3.00382992988822
2.90730029898181,2.9118989741232,2.93532559317525
3.0941650462659,3.21667531532624,3.12703350556916
2.99879322142512,2.92904291156667,2.99342393899926
3.01712924734275,3.09594535691399,3.09838741335767
3.13332186277988,3.07003550504229,3.0959619831218
3.07621926050738,3.12434326826838,3.03804925429571
2.94982077980868,3.00362199490476,2.99269991920542
2.97995129874991,2.94059399778439,2.94880537807056
2.91350305543366,2.86001946411267,2.92304223673472
2.9347310830365,2.75842106113025,2.94137960510797
3.07281431019296,3.21649692367715,3.07063734135908
3.10388080813947,2.97424376768612,2.97431796235346
2.99984175305293,2.99576576258886,3.0165061553937
3.04816902605678,3.06393997410884,3.03270904005637
3.16926502546302,3.21097546264864,3.1946208943735
2.98270697556851,3.02402692942139,3.04553947763949
2.85719668915139,2.81064466615703,2.89294915821567
3.07052597649952,3.14249016106626,3.11756824586766
3.03779623369908,2.97533594515388,3.00385617644724
2.92251852113532,2.94426824300243,2.95836007483066
3.08824049696419,3.02138578285839,3.04682433387043
3.10358590968066,3.18900701223023,3.09988706730107
2.93791990614921,2.95014034537167,2.98223828992333
2.8827120248186,2.84538057667629,2.83269535204636
3.13049342563525,3.07573386203471,3.10046553471718
2.94491097577988,3.03400576880832,2.96360532047512
3.0504734350555,3.10354999183657,3.06740277419065
2.88742957574297,2.84398327359323,2.90431854010661
2.9445192956242,2.76301588066501,2.86452187758121
2.99846781887932,2.99251718251697,3.02193683379039
3.00187964313313,2.98532916475704,2.97127478776983
2.88703338115271,2.86074466350644,2.9507374897596
2.93359601169594,2.97049387209378,2.9990085531418
3.01340352843283,3.09121893284932,3.08842669419971
3.12778572444084,3.12197694806239,3.09371392526962
3.02290344666047,3.03342505762775,2.95951687406338
