"IPWT1","TMLE2T1","TMLE3T1","IPWT2","TMLE2T2","TMLE3T2"
2.71186138739267,2.81114572630186,2.90652832634085,4.69677567288388,2.90663633045817,2.90968832434621
2.99325785182407,3.07294982740992,3.12358915648858,4.95967443867906,3.01372491434125,3.04873529580538
3.05506655175182,3.51153456738087,3.24455779639984,4.93471159825976,3.27025691214368,3.18143218576524
3.1005236076984,2.98533210998094,3.04086763186818,4.7962373618343,2.96471892498486,3.02176028482437
1.59588042324752,2.99124027757901,2.98127792078828,4.68557494021638,2.94771880843484,2.99361043899511
3.15085365871282,3.06914917070289,3.09675267704228,4.98365540102388,3.03749334002376,3.06336504812798
2.9200196853766,3.2052423156603,3.18988924147789,4.8395455926619,3.16582775961263,3.16855570489759
2.37501396379876,2.82533337654961,2.99732894050747,4.83260632844278,2.92948784513077,2.99409201947808
3.4226599190463,2.99871592324231,2.99726220949588,5.05554971339516,3.02039973232852,3.02007857130035
2.39742006066505,2.96403098721181,3.06012535093163,4.95610961617038,3.0301824994168,3.01890020009295
3.07924268531667,2.97415885484702,2.86337145646826,4.8166885138739,2.93771243917514,2.87991426303632
3.04377798719007,3.01125799033091,2.96664139903384,4.90467377460396,3.00766566212505,2.98317820579478
2.86674227637614,2.86107307353117,2.95191612979305,4.89446507649081,2.93347350035696,2.97401994953792
3.06508178192264,3.12515565435022,3.10299962792171,4.92622225969822,3.05120108866915,3.06457860517821
2.58513640024731,2.74371977281852,2.88193887527241,4.78482226270935,2.8275707899736,2.85928539738772
2.87951009057067,3.11236949508166,2.99956356359272,4.82007169169569,3.02249761313701,2.9653753483761
3.6110507652975,3.14214611155929,3.02802899220136,5.04928842063461,3.05425380883133,2.99877640484631
3.14524171614328,3.1431139366631,3.08938774285799,4.88584096947239,3.01415554732497,3.04074055749038
2.78221662158285,2.85269926250622,3.00100510057931,4.72410264929139,2.90377038719383,2.93067474981364
3.19406214509445,2.98892582614014,2.97124463487132,4.99162635947742,2.99661970921577,2.98877090365183
2.68635110974234,2.91919360522445,2.87464948926978,4.72031779521281,2.83000416866207,2.86836304038515
2.74326730979024,2.97366269445204,3.06172133989757,4.91802378066045,3.01768586460898,3.03119088532434
3.02794337136636,2.8661873135505,2.89931307315056,4.94608492668423,2.89055362828588,2.87557255406548
2.9802827698694,3.12315037168477,3.03813649004661,4.86360756394476,3.04894254227505,2.99979343473342
2.6768846894742,2.74434240707086,2.87965320192343,4.71070631907254,2.80871246711058,2.87351750066219
2.9596796473612,2.91089412813455,3.08321397428479,4.88637154357255,2.95959628343041,3.0400050429028
2.6710713359551,2.95904373580651,3.01281271560002,4.81508382105661,3.02657485633957,2.9940896664373
2.29608819611324,3.04764086084016,3.04614255865333,4.74619463833488,3.11136152232497,3.05713618929554
3.42289612800416,2.9183433528008,2.99516736879337,4.95593516611964,2.97304379163707,2.95906341113641
1.58180202526055,2.85686269091064,2.82251231978613,4.59111011508263,2.77594912037468,2.79670135372581
3.12514288794037,2.87631868153991,2.89740561509382,4.88536023656352,2.86534608102832,2.9355192830118
3.17003087282966,3.16505549856285,3.11081850545924,4.89065615446084,3.12213855513156,3.11808972896089
2.64362507040889,2.86353332738644,2.95050233075016,4.71338584351813,2.92605012730619,2.90793052313973
